network,ladder,model,weighting,support_km,metric,block_days,optimal_sigma_km_point,optimal_sigma_km_bootstrap_mean,optimal_sigma_ci_low_km,optimal_sigma_ci_high_km,p_optimal_sigma_gt_zero
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,mae,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,mae,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,rmse,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,rmse,1,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,rmse,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,rmse,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,rmse,3,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,rmse,3,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,rmse,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,rmse,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,rmse,5,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,rmse,5,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,rmse,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,rmse,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,0.0,rmse,7,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,50.0,rmse,7,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,100.0,rmse,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,graphcast_hres_init,uniform,200.0,rmse,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,mae,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,mae,1,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,mae,1,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,mae,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,mae,3,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,mae,3,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,mae,3,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,mae,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,mae,5,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,mae,5,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,mae,5,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,mae,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,mae,7,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,mae,7,25.0,24.99375,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,mae,7,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,mae,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,rmse,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,rmse,1,12.5,12.5375,12.5,12.5,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,rmse,1,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,rmse,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,rmse,3,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,rmse,3,12.5,12.625,12.5,12.5,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,rmse,3,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,rmse,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,rmse,5,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,rmse,5,12.5,12.64375,12.5,12.5,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,rmse,5,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,rmse,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,0.0,rmse,7,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,gaussian,50.0,rmse,7,12.5,12.6625,12.5,12.5,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,100.0,rmse,7,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,gaussian,200.0,rmse,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,mae,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,mae,1,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,mae,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,mae,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,mae,3,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,mae,3,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,mae,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,mae,3,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,mae,5,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,mae,5,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,mae,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,mae,5,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,mae,7,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,mae,7,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,mae,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,mae,7,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,rmse,1,0.0,0.0,0.0,0.0,0.0
inmet_hourly,prospective_common,ifs_hres,uniform,50.0,rmse,1,25.0,25.0,25.0,25.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,100.0,rmse,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,200.0,rmse,1,50.0,50.0,50.0,50.0,1.0
inmet_hourly,prospective_common,ifs_hres,uniform,0.0,rmse,3,0.0,0.0,0.0,0.0,0.0
